,tweet_dt,id,tweet
0,2021-07-15,1415746056076283909,"RT @RBCRwanda: Abanyeshuri muri mu biruhuko, mwirinde cyane kujya muri birthdays za bagenzi banyu kandi mugume mu rugo. #COVID19 irahari ka…"
1,2021-07-15,1415742275255164933,"RT @NewTimesRwanda: Rwanda Biomedical Centre (RBC) plans to introduce Covid-19 self-testing kits.

According to Dr. Sabin Nsanzimana, @RBCR…"
2,2021-07-15,1415740249473441795,Buri wese aho aherereye dukurikirane nk'Intore iyubahiriza ry'amabwiriza y'ubwirinzi bwa covid. https://t.co/cYAACf3Ddi
3,2021-07-15,1415740219010191371,RT @RBCRwanda: Igihugu cyacu kirashyira imbaraga mu kuboneka kw'inkingo nyinshi ariko zigomba kuza natwe twaririnze. Inkingo ntizikuraho iz…
4,2021-07-15,1415740125120761863,RT @hambajona: Ese nibarize @RwandaHealth na @RBCRwanda ubundi #COVID19 ikwirakwira ite? Abo mureka bakinjira mu gihugu sibo bayizana? None…
5,2021-07-15,1415738471382233092,Ese nibarize @RwandaHealth na @RBCRwanda ubundi #COVID19 ikwirakwira ite? Abo mureka bakinjira mu gihugu sibo bayiz… https://t.co/tsbv6tuNok
6,2021-07-15,1415737130379317258,RT @RBCRwanda: Igihugu cyacu kirashyira imbaraga mu kuboneka kw'inkingo nyinshi ariko zigomba kuza natwe twaririnze. Inkingo ntizikuraho iz…
7,2021-07-15,1415734874808463364,RT @RBCRwanda: Igihugu cyacu kirashyira imbaraga mu kuboneka kw'inkingo nyinshi ariko zigomba kuza natwe twaririnze. Inkingo ntizikuraho iz…
8,2021-07-15,1415733297448161281,"RT @RBCRwanda: Birashoboka ko wakwandura #COVID19 kandi warakingiwe ariko biri ku kigero gito. Igihe bibayeho, urukingo rukurinda kuzahara.…"
9,2021-07-15,1415732933508358151,@marayika_ @RDBrwanda This clearly shows who's behind the designing of all covid-19 restrictions. @RDBrwanda not @RBCRwanda
10,2021-07-15,1415728660758290433,"RT @RBCRwanda: Abanyeshuri muri mu biruhuko, mwirinde cyane kujya muri birthdays za bagenzi banyu kandi mugume mu rugo. #COVID19 irahari ka…"
11,2021-07-15,1415728262320463874,RT @RBCRwanda: Igihugu cyacu kirashyira imbaraga mu kuboneka kw'inkingo nyinshi ariko zigomba kuza natwe twaririnze. Inkingo ntizikuraho iz…
12,2021-07-15,1415727823990427651,RT @RBCRwanda: Igihugu cyacu kirashyira imbaraga mu kuboneka kw'inkingo nyinshi ariko zigomba kuza natwe twaririnze. Inkingo ntizikuraho iz…
13,2021-07-15,1415727149789683725,@BabylHealth @RwandaHealth @RBCRwanda I don't which way to show more rwandans how much helpfull bably is
14,2021-07-15,1415723428523528196,RT @RBCRwanda: Igihugu cyacu kirashyira imbaraga mu kuboneka kw'inkingo nyinshi ariko zigomba kuza natwe twaririnze. Inkingo ntizikuraho iz…
15,2021-07-15,1415722682625232897,RT @RBCRwanda: Igihugu cyacu kirashyira imbaraga mu kuboneka kw'inkingo nyinshi ariko zigomba kuza natwe twaririnze. Inkingo ntizikuraho iz…
16,2021-07-15,1415722643441979404,RT @RBCRwanda: Igihugu cyacu kirashyira imbaraga mu kuboneka kw'inkingo nyinshi ariko zigomba kuza natwe twaririnze. Inkingo ntizikuraho iz…
17,2021-07-15,1415717211105341447,"Iminsi 10, abanduye #COVID-19 izaba yarabashizemo- @DrDanielNgamije @RwandaHealth @RBCRwanda #Rwanda… https://t.co/wxZCv7CKof"
18,2021-07-15,1415715015622107136,"RT @BabylHealth: NCDs include cardiovascular diseases (like heart attacks &amp; stroke), cancer, chronic respiratory diseases &amp; diabetes. They…"
19,2021-07-15,1415712519113617413,"RT @BabylHealth: NCDs include cardiovascular diseases (like heart attacks &amp; stroke), cancer, chronic respiratory diseases &amp; diabetes. They…"
20,2021-07-15,1415711178635022340,RT @RBCRwanda: Igihugu cyacu kirashyira imbaraga mu kuboneka kw'inkingo nyinshi ariko zigomba kuza natwe twaririnze. Inkingo ntizikuraho iz…
21,2021-07-15,1415711168648335362,RT @RBCRwanda: Igihugu cyacu kirashyira imbaraga mu kuboneka kw'inkingo nyinshi ariko zigomba kuza natwe twaririnze. Inkingo ntizikuraho iz…
